station_id,station_name,address,fast_charger,slow_charger,district_code
1,LH강남힐스테이트,서울특별시 강남구 자곡동 자곡로3길 21,1,4,11680
2,LH서울지사,서울특별시 강남구 선릉로 121길 12,1,0,11680
3,가람아파트,서울특별시 강남구 일원동 일원로 127,1,0,11680
4,강남구청 공영주차장,서울특별시 강남구 삼성동 16-1,1,0,11680
5,강남데시앙파크,서울특별시 강남구 세곡동 헌릉로590길 63,1,1,11680
6,강남데시앙포레,서울특별시 강남구 수서동 광평로34길55,1,3,11680
7,강남세브란스 병원,서울특별시 강남구 언주로 211,2,0,11680
8,강남아이파크,서울특별시 강남구 자곡동 자곡로 175,1,1,11680
9,강남한신휴 플러스8단지,서울특별시 강남구 율현동 밤고개로27길 20,0,2,11680
10,강남한신휴플러스6단지 아파트,서울특별시 강남구 율현동 밤고개로26길 50,1,2,11680
11,강남한양수자인,서울특별시 강남구 자곡동 자곡로 260,1,4,11680
12,개나리래미안 아파트,서울특별시 강남구 역삼동 역삼로 306,1,2,11680
13,개나리푸르지오,서울특별시 강남구 역삼동 755-1,0,3,11680
14,개포7차 우성 아파트,서울특별시 강남구 일원동 개포로110길 15,1,1,11680
15,공무원연금공단 서울지부(상록회관),서울특별시 강남구 역삼동 701,1,0,11680
16,금호어울림 아파트(삼성동),서울특별시 강남구 삼성동 봉은사로111길 25,0,1,11680
17,대치2문화센터 공영주차장,서울특별시 강남구 대치동 980-9,1,0,11680
18,대치현대 아파트,서울특별시 강남구 대치동 삼성로64길 5,1,1,11680
19,도곡대림아크로빌,서울특별시 강남구 도곡동 언주로30길 13,1,0,11680
20,도곡렉슬 아파트,서울특별시 강남구 도곡동 선릉로 221,2,2,11680
21,도성 아파트,서울특별시 강남구 삼성로67길 14,0,2,11680
22,라테라스삼성,서울특별시 강남구 삼성동 봉은사로 645,0,1,11680
23,래미안강남힐즈,서울특별시 강남구 자곡동 자곡로 101,1,2,11680
24,래미안그레이튼,서울특별시 강남구 역삼동 도곡로43길 20,1,1,11680
25,래미안대치팰리스,서울특별시 강남구 대치동 삼성로51길 37,2,0,11680
26,래미안대치하이스턴 아파트,서울특별시 강남구 대치동 도곡로93길 12,1,1,11680
27,래미안삼성1차,서울특별시 강남구 삼성동 103-22,0,2,11680
28,삼성동 에스케이뷰 아파트,서울특별시 강남구 삼성동 봉은사로109길 14-8,0,1,11680
29,삼성동한일아파트,서울특별시 강남구 삼성동 48,0,1,11680
30,삼성동현대아파트,서울특별시 강남구 삼성동 학동로64길 14,0,1,11680
31,삼성동힐스테이트2단지,서울특별시 강남구 삼성로 111길 8,1,3,11680
32,삼성우정에쉐르아파트,서울특별시 강남구 삼성동 3-8,0,2,11680
33,삼성중앙하이츠빌리지,서울특별시 강남구 삼성동 학동로68길 30,0,1,11680
34,삼성파크 아파트,서울특별시 강남구 삼성동 삼성로99길 14,0,2,11680
35,샘터마을 아파트,서울특별시 강남구 일원동 일원로 120,1,0,11680
36,세곡리엔파크1단지,서울특별시 강남구 세곡동 508,0,3,11680
37,세곡리엔파크2단지 아파트,서울특별시 강남구 세곡동 헌릉로 590길10,1,0,11680
38,세곡리엔파크3단지,서울특별시 강남구 세곡동 헌릉로590길 11,1,1,11680
39,세곡푸르지오아파트,서울특별시 강남구 세곡동 533,1,1,11680
40,아이파크삼성동,서울특별시 강남구 삼성동 영동대로 640,1,0,11680
41,아크로힐스논현,서울특별시 강남구 논현동 276-1,1,0,11680
42,역삼2차아이파크아파트,서울특별시 강남구 역삼동 도곡로57길 12,0,3,11680
43,역삼e-편한세상,서울특별시 강남구 역삼동 755-4,1,3,11680
44,역삼래미안,서울특별시 강남구 역삼동 757,1,4,11680
45,우정에쉐르 3차,서울특별시 강남구 대치동 950,0,1,11680
