"faq_id","questions","answers"
1,완속충전시설 설치지원사업으로 얼마의 보조금을 지원받을 수 있나요?,"완속충전시설 보조금 지원 단가]- 30kW 이상 : 500만원(1기), 400만원(2기), 350만원(3기 이상)- 11W 이상 : 160만원(1기), 140만원(2기~5기), 120만원(6기 이상)- 7W 이상 ~ 11kW 미만 : 140만원(1기), 120만원(2~5기), 100만원(6기 이상)-키오스크 충전기 :140만원(2기)-전력분배형 충전기 :110만원/기 -과금형콘센트 : 35만원/기 ※ 보조금은 지원 가능한 최대 금액을 말하며, 보조금 한도를 초과하여 발생한 충전기 설치 비용은 설치희망자가 부담함"
2,신청 방법이 어떻게 되나요?,"완속충전기 설치지원 사업 관련]공동주택, 사업장, 대규모 주차장 등의 소유 및 운영 주체 중 공용 완속충전시설 설치희망자가 직접 신청서를 작성하고 접수를 해야합니다.- 무공해차 통합누리집(www.ev.or.kr) 접속 -> ‘공용 완속충전시설 직접시청 버튼’ 클릭 -> 충전기 수량 등 확인 후 신청서 작성※ 단, 상황에 따라 선택한 사업자가 아닌 다른 사업자가 배정될 수 있으며, 설치 후 5년 이내에 철거 시 보조금이 환수됩니다."
3,완속충전기 설치지원 사업의 보조금으로 급속충전기 설치 가능한가요?,완속충전기 설치지원 사업 관련]해당 사업의 취지에 맞게 완속충전기 설치지원사업에서는 완속충전기에 대한 보조금만 지급됩니다.
4,완속충전기 하자보증기간이 있나요?,"완속충전기 설치지원 사업 관련]완속충전기의 하자보증기간은 5년이며, 하자보증기간이 끝난 이후의 사후관리는 소유자에게 책임이 있습니다."
5,완속충전시설 의무 사용기간이 있나요?,"완속충전기 설치지원 사업 관련]충전시설 소유자 및 사업수행기관은 최소 5년간 해당 충전시설을 운영, 관리 하여야 하며,충전시설 소유자가 5년 이내에 충전시설을 철거하는 경우 보조금을 환수 조치할 수 있음"
6,SM3 ZE의 경우 커넥터 분리가 힘들어요.,ZE의 경우 차량키에 커넥터 분리 버튼(플러그 모양)을 누르신 후 분리하시기 바랍니다.
7,충전카드 발급 소요기간이 얼마나 되는지요.,"신청을 하시면 신청완료 메시지와 발급완료 메시지를 받으시게 됩니다. 발급된 회원카드는 우체국 등기로 발송되며, 발급완료 문자 메시지를 받으신 후 수령까지는 영업일 기준 4일~7일, 도서산간지역은 영업일 기준 7일 이상 소요됩니다."
8,전기자동차 충전카드 발급절차가 어떻게 되나요?,환경부에서는 국내 보급성능 평가시험을 완료한 전기자동차에 대하여 충전카드를 발급하고 있습니다. 해당 전기자동차를 구매하신분께서는 충전카드를 발급 신청해 주시기 바랍니다. 자세한 발급절차는 [참여마당-자료실]의 “홈페이지 회원가입 및 회원카드 발급방법 안내” 를 참고하시기 바랍니다.
9,전기자동차 렌트카 또는 카셰어링을 이용할 경우 충전카드를 발급받아야 하나요?,"렌트카 또는 카셰어링을 이용하실 경우 해당차량 내 충전카드가 비치되어 있어 별도 발급을 받으시지 않아도 됩니다. 만약 충전카드가 비치되어 있지 않다면, 렌트카 또는 카셰어링 회사 고객센터에 문의하여 주시기 바랍니다."
10,전기차 지원 가능 차량 및 보조금 확인 방법은?,"무공해차 통합누리집(www.ev.or.kr)에서 확인 가능

무공해차통합누리집 접속 후 : 상단 [구매 및 지원] → [구매보조금 지급현황] → [지자체 차종별 보조금]→[지역별 조회]"
