district_code,fuel_id,reg_year,total_amount
11110,1,2020,26818
11110,2,2020,18504
11110,3,2020,2421
11110,4,2020,124
11110,5,2020,1889
11110,6,2020,278
11110,7,2020,52
11140,1,2020,24527
11140,2,2020,20600
11140,3,2020,3061
11140,4,2020,34
11140,5,2020,1872
11140,6,2020,714
11140,7,2020,32
11170,1,2020,45361
11170,2,2020,26069
11170,3,2020,3653
11170,4,2020,28
11170,5,2020,3100
11170,6,2020,479
11170,7,2020,44
11200,1,2020,54781
11200,2,2020,37886
11200,3,2020,8190
11200,4,2020,464
11200,5,2020,3570
11200,6,2020,1041
11200,7,2020,34
11215,1,2020,50296
11215,2,2020,36890
11215,3,2020,7922
11215,4,2020,191
11215,5,2020,3104
11215,6,2020,304
11215,7,2020,30
11230,1,2020,48788
11230,2,2020,37125
11230,3,2020,8753
11230,4,2020,54
11230,5,2020,2773
11230,6,2020,312
11230,7,2020,37
11260,1,2020,52975
11260,2,2020,43649
11260,3,2020,13754
11260,4,2020,377
11260,5,2020,2650
11260,6,2020,412
11260,7,2020,28
11290,1,2020,63070
11290,2,2020,42296
11290,3,2020,9555
11290,4,2020,743
11290,5,2020,3824
11290,6,2020,530
11290,7,2020,35
11305,1,2020,36559
11305,2,2020,27997
11305,3,2020,8209
11305,4,2020,675
11305,5,2020,1828
11305,6,2020,298
11305,7,2020,16
11320,1,2020,46859
11320,2,2020,34019
11320,3,2020,11755
11320,4,2020,354
11320,5,2020,2337
11320,6,2020,347
11320,7,2020,23
11350,1,2020,78762
11350,2,2020,50741
11350,3,2020,17182
11350,4,2020,608
11350,5,2020,4649
11350,6,2020,495
11350,7,2020,33
11380,1,2020,68653
11380,2,2020,45175
11380,3,2020,12851
11380,4,2020,746
11380,5,2020,4004
11380,6,2020,492
11380,7,2020,81
11410,1,2020,47205
11410,2,2020,30408
11410,3,2020,7851
11410,4,2020,284
11410,5,2020,3165
11410,6,2020,358
11410,7,2020,63
11440,1,2020,63631
11440,2,2020,41768
11440,3,2020,8231
11440,4,2020,325
11440,5,2020,4510
11440,6,2020,567
11440,7,2020,96
11470,1,2020,79449
